Uniprot ID,Gene Name,Uniprot Name,Protein Name
P14384,CPM,CBPM_HUMAN,Carboxypeptidase M
P40259,CD79B,CD79B_HUMAN,B-cell antigen receptor complex-associated protein beta chain
P15169,CPN1,CBPN_HUMAN,Carboxypeptidase N catalytic chain
P23508,MCC,CRCM_HUMAN,Colorectal mutant cancer protein
Q9NX46,ADPRHL2,ARHL2_HUMAN,ADP-ribose glycohydrolase ARH3
P41240,CSK,CSK_HUMAN,Tyrosine-protein kinase CSK
P35858,IGFALS,ALS_HUMAN,Insulin-like growth factor-binding protein complex acid labile subunit
Q5SW96,LDLRAP1,ARH_HUMAN,Low density lipoprotein receptor adapter protein 1
Q9BS16,CENPK,CENPK_HUMAN,Centromere protein K
P30443,HLA-A,1A01_HUMAN,"HLA class I histocompatibility antigen, A-1 alpha chain"
P15289,ARSA,ARSA_HUMAN,Arylsulfatase A
Q12887,COX10,COX10_HUMAN,"Protoheme IX farnesyltransferase, mitochondrial"
Q9UBX8,B4GALT6,B4GT6_HUMAN,"Beta-1,4-galactosyltransferase 6"
Q9NYQ6,CELSR1,CELR1_HUMAN,Cadherin EGF LAG seven-pass G-type receptor 1
P02649,APOE,APOE_HUMAN,Apolipoprotein E
Q07973,CYP24A1,CP24A_HUMAN,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
Q92481,TFAP2B,AP2B_HUMAN,Transcription factor AP-2-beta
Q96MT8,CEP63,CEP63_HUMAN,Centrosomal protein of 63 kDa
Q7L5N1,COPS6,CSN6_HUMAN,COP9 signalosome complex subunit 6
Q6UWU4,C6orf89,CF089_HUMAN,Bombesin receptor-activated protein C6orf89
P54802,NAGLU,ANAG_HUMAN,Alpha-N-acetylglucosaminidase
O00189,AP4M1,AP4M1_HUMAN,AP-4 complex subunit mu-1
Q96SW2,CRBN,CRBN_HUMAN,Protein cereblon
P68106,FKBP1B,FKB1B_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP1B
O75129,ASTN2,ASTN2_HUMAN,Astrotactin-2
Q9UHK6,AMACR,AMACR_HUMAN,Alpha-methylacyl-CoA racemase
Q6ZS62,COLCA1,COLC1_HUMAN,Colorectal cancer-associated protein 1
Q6ZV80,C2orf91,CB091_HUMAN,Uncharacterized protein C2orf91
Q7Z6I8,C5orf24,CE024_HUMAN,UPF0461 protein C5orf24
Q9BV29,CCDC32,CCD32_HUMAN,Coiled-coil domain-containing protein 32
Q4G0S7,CCDC152,CC152_HUMAN,Coiled-coil domain-containing protein 152
Q9P1Z9,CCDC180,CC180_HUMAN,Coiled-coil domain-containing protein 180
P08861,CELA3B,CEL3B_HUMAN,Chymotrypsin-like elastase family member 3B
Q96M95,CCDC42,CCD42_HUMAN,Coiled-coil domain-containing protein 42
Q5TBE3,C9orf153,CI153_HUMAN,Uncharacterized protein C9orf153
Q9NRK6,ABCB10,ABCBA_HUMAN,"ATP-binding cassette sub-family B member 10, mitochondrial"
Q9Y615,ACTL7A,ACL7A_HUMAN,Actin-like protein 7A
Q8TD86,CALML6,CALL6_HUMAN,Calmodulin-like protein 6
Q6PH81,C16orf87,CP087_HUMAN,UPF0547 protein C16orf87
Q96CM8,ACSF2,ACSF2_HUMAN,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial"
P84085,ARF5,ARF5_HUMAN,ADP-ribosylation factor 5
Q6JBY9,RCSD1,CPZIP_HUMAN,CapZ-interacting protein
Q504U0,C4orf46,CD046_HUMAN,Renal cancer differentiation gene 1 protein
Q9P291,ARMCX1,ARMX1_HUMAN,Armadillo repeat-containing X-linked protein 1
Q8N283,ANKRD35,ANR35_HUMAN,Ankyrin repeat domain-containing protein 35
Q99440,LINC01587,CD006_HUMAN,Uncharacterized protein encoded by LINC01587
A6NNH2,FAM90A27P,F90AR_HUMAN,Protein FAM90A27P
Q13685,AAMP,AAMP_HUMAN,Angio-associated migratory cell protein
Q8N4F0,BPIFB2,BPIB2_HUMAN,BPI fold-containing family B member 2
O75718,CRTAP,CRTAP_HUMAN,Cartilage-associated protein
Q8N319,C6orf223,CF223_HUMAN,Uncharacterized protein C6orf223
Q9H8M5,CNNM2,CNNM2_HUMAN,Metal transporter CNNM2
O15072,ADAMTS3,ATS3_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 3
P98194,ATP2C1,AT2C1_HUMAN,Calcium-transporting ATPase type 2C member 1
Q3C1V1,C11orf91,CK091_HUMAN,Uncharacterized protein C11orf91
P0DKL9,ARL14EPL,A14EL_HUMAN,ARL14 effector protein-like
Q9H4R4,NCOR1P1,CT191_HUMAN,Putative nuclear receptor corepressor 1-like protein NCOR1P1
L0R819,ASDURF,ASURF_HUMAN,ASNSD1 upstream open reading frame protein
P35555,FBN1,FBN1_HUMAN,Fibrillin-1
Q92484,SMPDL3A,ASM3A_HUMAN,Acid sphingomyelinase-like phosphodiesterase 3a
Q8TCG5,CPT1C,CPT1C_HUMAN,"Carnitine O-palmitoyltransferase 1, brain isoform"
A6NM45,CLDN24,CLD24_HUMAN,Putative claudin-24
Q8N5K1,CISD2,CISD2_HUMAN,CDGSH iron-sulfur domain-containing protein 2
Q9BYF1,ACE2,ACE2_HUMAN,Angiotensin-converting enzyme 2
Q15822,CHRNA2,ACHA2_HUMAN,Neuronal acetylcholine receptor subunit alpha-2
Q9H4D0,CLSTN2,CSTN2_HUMAN,Calsyntenin-2
O43520,ATP8B1,AT8B1_HUMAN,Phospholipid-transporting ATPase IC
Q4AC94,C2CD3,C2CD3_HUMAN,C2 domain-containing protein 3
Q14CW9,ATXN7L3,AT7L3_HUMAN,Ataxin-7-like protein 3
Q17RA5,C21orf62-AS1,CMAS1_HUMAN,Putative uncharacterized protein C21orf62-AS1
P0C2W7,CT47B1,CT47B_HUMAN,Cancer/testis antigen 47B
Q96PC3,AP1S3,AP1S3_HUMAN,AP-1 complex subunit sigma-3
P04745,AMY1A,AMY1_HUMAN,Alpha-amylase 1
Q5CZ79,ANKRD20A8P,AN20B_HUMAN,Ankyrin repeat domain-containing protein 20B
Q09666,AHNAK,AHNK_HUMAN,Neuroblast differentiation-associated protein AHNAK
Q96IK1,BOD1,BOD1_HUMAN,Biorientation of chromosomes in cell division protein 1
Q96DG6,CMBL,CMBL_HUMAN,Carboxymethylenebutenolidase homolog
Q14CN2,CLCA4,CLCA4_HUMAN,Calcium-activated chloride channel regulator 4
Q8NCG5,CHST4,CHST4_HUMAN,Carbohydrate sulfotransferase 4
Q9BRR6,ADPGK,ADPGK_HUMAN,ADP-dependent glucokinase
Q9P003,CNIH4,CNIH4_HUMAN,Protein cornichon homolog 4
Q96NS8,CLUHP3,CLUP3_HUMAN,Putative protein CLUHP3
Q86U37,LINC01551,CN023_HUMAN,Uncharacterized protein encoded by LINC01551
P08034,GJB1,CXB1_HUMAN,Gap junction beta-1 protein
Q9H0C2,SLC25A31,ADT4_HUMAN,ADP/ATP translocase 4
P01036,CST4,CYTS_HUMAN,Cystatin-S
Q9Y6V7,DDX49,DDX49_HUMAN,Probable ATP-dependent RNA helicase DDX49
Q8NEG4,FAM83F,FA83F_HUMAN,Protein FAM83F
Q6ZRV2,FAM83H,FA83H_HUMAN,Protein FAM83H
P42830,CXCL5,CXCL5_HUMAN,C-X-C motif chemokine 5
Q9NVM6,DNAJC17,DJC17_HUMAN,DnaJ homolog subfamily C member 17
Q4G0N7,FAM229B,F229B_HUMAN,Protein FAM229B
A0A1B0GUQ0,FAM236A,F236A_HUMAN,Protein FAM236A
Q96IJ6,GMPPA,GMPPA_HUMAN,Mannose-1-phosphate guanyltransferase alpha
Q9BQI3,EIF2AK1,E2AK1_HUMAN,Eukaryotic translation initiation factor 2-alpha kinase 1
H7C350,CCDC188,CC188_HUMAN,Coiled-coil domain-containing protein 188
Q15517,CDSN,CDSN_HUMAN,Corneodesmosin
O95573,ACSL3,ACSL3_HUMAN,Long-chain-fatty-acid--CoA ligase 3
P20039,HLA-DRB1,2B1B_HUMAN,"HLA class II histocompatibility antigen, DRB1-11 beta chain"
Q9H246,C1orf21,CA021_HUMAN,Uncharacterized protein C1orf21
Q8WXQ8,CPA5,CBPA5_HUMAN,Carboxypeptidase A5
Q8IYE0,CCDC146,CC146_HUMAN,Coiled-coil domain-containing protein 146
Q96PE2,ARHGEF17,ARHGH_HUMAN,Rho guanine nucleotide exchange factor 17
O95841,ANGPTL1,ANGL1_HUMAN,Angiopoietin-related protein 1
Q8WZB0,LINC00476,CI130_HUMAN,Putative uncharacterized protein encoded by LINC00476
Q96F63,CCDC97,CCD97_HUMAN,Coiled-coil domain-containing protein 97
Q6E213,AWAT2,AWAT2_HUMAN,Acyl-CoA wax alcohol acyltransferase 2
P04222,HLA-C,1C03_HUMAN,"HLA class I histocompatibility antigen, Cw-3 alpha chain"
P16152,CBR1,CBR1_HUMAN,Carbonyl reductase [NADPH] 1
P07311,ACYP1,ACYP1_HUMAN,Acylphosphatase-1
Q6L9W6,B4GALNT3,B4GN3_HUMAN,"Beta-1,4-N-acetylgalactosaminyltransferase 3"
Q14CZ0,C16orf72,CP072_HUMAN,UPF0472 protein C16orf72
Q8NE62,CHDH,CHDH_HUMAN,"Choline dehydrogenase, mitochondrial"
Q16678,CYP1B1,CP1B1_HUMAN,Cytochrome P450 1B1
Q562R1,ACTBL2,ACTBL_HUMAN,Beta-actin-like protein 2
P31946,YWHAB,1433B_HUMAN,14-3-3 protein beta/alpha
Q9H6S1,AZI2,AZI2_HUMAN,5-azacytidine-induced protein 2
P0DMU7,CT45A6,CT456_HUMAN,Cancer/testis antigen family 45 member A6
P78410,BTN3A2,BT3A2_HUMAN,Butyrophilin subfamily 3 member A2
A6NH57,ARL5C,ARL5C_HUMAN,Putative ADP-ribosylation factor-like protein 5C
Q8NHU2,CFAP61,CFA61_HUMAN,Cilia- and flagella-associated protein 61
Q5T9A4,ATAD3B,ATD3B_HUMAN,ATPase family AAA domain-containing protein 3B
Q99218,AMELY,AMELY_HUMAN,"Amelogenin, Y isoform"
P30484,HLA-B,1B46_HUMAN,"HLA class I histocompatibility antigen, B-46 alpha chain"
P30481,HLA-B,1B44_HUMAN,"HLA class I histocompatibility antigen, B-44 alpha chain"
P07741,APRT,APT_HUMAN,Adenine phosphoribosyltransferase
Q9BWP8,COLEC11,COL11_HUMAN,Collectin-11
Q9P1Z2,CALCOCO1,CACO1_HUMAN,Calcium-binding and coiled-coil domain-containing protein 1
Q8N8A2,ANKRD44,ANR44_HUMAN,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
Q0P5P2,C17orf67,CQ067_HUMAN,Uncharacterized protein C17orf67
Q9BUF7,CRB3,CRUM3_HUMAN,Protein crumbs homolog 3
O95452,GJB6,CXB6_HUMAN,Gap junction beta-6 protein
Q15021,NCAPD2,CND1_HUMAN,Condensin complex subunit 1
P10589,NR2F1,COT1_HUMAN,COUP transcription factor 1
Q53ET0,CRTC2,CRTC2_HUMAN,CREB-regulated transcription coactivator 2
O43809,NUDT21,CPSF5_HUMAN,Cleavage and polyadenylation specificity factor subunit 5
Q7Z5M8,ABHD12B,AB12B_HUMAN,Protein ABHD12B
P58335,ANTXR2,ANTR2_HUMAN,Anthrax toxin receptor 2
Q15003,NCAPH,CND2_HUMAN,Condensin complex subunit 2
Q6P656,CFAP161,CF161_HUMAN,Cilia- and flagella-associated protein 161
