uniprotid,genename,uniprotname,proteinname,disorders,references
P15289,ARSA,ARSA_HUMAN,Arylsulfatase A,['-'],['28007376']
Q12887,COX10,COX10_HUMAN,"Protoheme IX farnesyltransferase, mitochondrial",['-'],['28007376']
P02649,APOE,APOE_HUMAN,Apolipoprotein E,['-'],['28007376']
Q9UHK6,AMACR,AMACR_HUMAN,Alpha-methylacyl-CoA racemase,['-'],['28007376']
Q8TD86,CALML6,CALL6_HUMAN,Calmodulin-like protein 6,['-'],['28255556']
Q9H8M5,CNNM2,CNNM2_HUMAN,Metal transporter CNNM2,['-'],['28007376']
Q15822,CHRNA2,ACHA2_HUMAN,Neuronal acetylcholine receptor subunit alpha-2,['JME'],"['29924869', '28007376']"
P31946,YWHAB,1433B_HUMAN,14-3-3 protein beta/alpha,['-'],['28255556']
P10589,NR2F1,COT1_HUMAN,COUP transcription factor 1,['-'],['28007376']
Q9NW15,ANO10,ANO10_HUMAN,Anoctamin-10,['-'],['28007376']
Q99798,ACO2,ACON_HUMAN,"Aconitate hydratase, mitochondrial",['-'],['28007376']
Q8IXJ9,ASXL1,ASXL1_HUMAN,Putative Polycomb group protein ASXL1,['-'],['28007376']
Q9UKL4,GJD2,CXD2_HUMAN,Gap junction delta-2 protein,['-'],['28007376']
P12110,COL6A2,CO6A2_HUMAN,Collagen alpha-2(VI) chain,['MTLE'],"['23483634', '28007376']"
O75072,FKTN,FKTN_HUMAN,Fukutin,['-'],['28007376']
Q9H936,SLC25A22,GHC1_HUMAN,Mitochondrial glutamate carrier 1,['JME'],"['29924869', '28007376']"
O15228,GNPAT,GNPAT_HUMAN,Dihydroxyacetone phosphate acyltransferase,['-'],['28007376']
P27348,YWHAQ,1433T_HUMAN,14-3-3 protein theta,['-'],['28255556']
P63261,ACTG1,ACTG_HUMAN,"Actin, cytoplasmic 2",['-'],['28007376']
Q2TAA5,ALG11,ALG11_HUMAN,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",['-'],['28007376']
P48751,SLC4A3,B3A3_HUMAN,Anion exchange protein 3,['-'],['28007376']
Q2NKJ3,CTC1,CTC1_HUMAN,CST complex subunit CTC1,['-'],['28007376']
Q99622,C12orf57,C10_HUMAN,Protein C10,['-'],['28007376']
P49419,ALDH7A1,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase,['JME'],"['29924869', '28007376']"
Q02246,CNTN2,CNTN2_HUMAN,Contactin-2,['-'],['28007376']
Q9Y2E4,DIP2C,DIP2C_HUMAN,Disco-interacting protein 2 homolog C,['-'],['28007376']
O00154,ACOT7,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase,['-'],['28007376']
Q9H553,ALG2,ALG2_HUMAN,"Alpha-1,3/1,6-mannosyltransferase ALG2",['-'],['28007376']
Q6V0L0,CYP26C1,CP26C_HUMAN,Cytochrome P450 26C1,['-'],['28007376']
Q15825,CHRNA6,ACHA6_HUMAN,Neuronal acetylcholine receptor subunit alpha-6,['-'],['28007376']
P08908,HTR1A,5HT1A_HUMAN,5-hydroxytryptamine receptor 1A,['-'],['28007376']
Q9NYY8,FASTKD2,FAKD2_HUMAN,"FAST kinase domain-containing protein 2, mitochondrial",['-'],['28007376']
Q96CU9,FOXRED1,FXRD1_HUMAN,FAD-dependent oxidoreductase domain-containing protein 1,['-'],['28007376']
P0DP24,CALM2,CALM2_HUMAN,Calmodulin-2,['-'],['28255556']
Q9H2P0,ADNP,ADNP_HUMAN,Activity-dependent neuroprotector homeobox protein,['-'],['28007376']
P29274,ADORA2A,AA2AR_HUMAN,Adenosine receptor A2a,['-'],['28007376']
P11532,DMD,DMD_HUMAN,Dystrophin,['-'],['28007376']
Q9HCJ1,ANKH,ANKH_HUMAN,Progressive ankylosis protein homolog,['-'],['28007376']
P43681,CHRNA4,ACHA4_HUMAN,Neuronal acetylcholine receptor subunit alpha-4,"['CAE', 'JAE', 'JME']","['11988776', '11988776', '29924869', '28007376']"
Q9UQ16,DNM3,DYN3_HUMAN,Dynamin-3,['-'],['28007376']
Q9Y6D5,ARFGEF2,BIG2_HUMAN,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,['-'],['28007376']
P25440,BRD2,BRD2_HUMAN,Bromodomain-containing protein 2,['JME'],"['23756480', '28007376']"
